,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,13.49,69,62,2.45,ZA,1635013379
1,Nuuk,64.1835,-51.7216,-1.66,54,75,4.63,GL,1635013020
2,Isangel,-19.55,169.2667,23.68,84,80,4.93,VU,1635013380
3,Port Alfred,-33.5906,26.891,16.3,72,15,13.53,ZA,1635013380
4,Kapaa,22.0752,-159.319,24.36,87,75,0.45,US,1635013380
5,Saldanha,-33.0117,17.9442,15.03,72,38,2.74,ZA,1635013381
6,Albany,42.6001,-73.9662,10.99,59,63,0.45,US,1635013217
7,Rikitea,-23.1203,-134.9692,23.76,81,49,9.18,PF,1635013381
8,Mitsamiouli,-11.3847,43.2844,26.16,73,20,4.12,KM,1635013382
9,Chokurdakh,70.6333,147.9167,-19.66,98,100,2.65,RU,1635013382
10,Plettenberg Bay,-34.0527,23.3716,14.21,79,44,5.62,ZA,1635013383
11,Carnarvon,-24.8667,113.6333,20.04,73,0,5.14,AU,1635013380
12,Sal Rei,16.1833,-22.9167,28.11,65,0,8.23,CV,1635013383
13,Castro,-24.7911,-50.0119,24.97,48,84,4.63,BR,1635013383
14,Macas,-2.3167,-78.1167,27.86,65,40,2.06,EC,1635013384
15,Bluff,-46.6,168.3333,11.1,90,100,1.51,NZ,1635013364
16,Lompoc,34.6391,-120.4579,17.95,61,1,5.14,US,1635013384
17,Saint George,37.1041,-113.5841,21.7,24,1,0.45,US,1635013367
18,Buraidah,26.326,43.975,28.25,15,0,3.67,SA,1635013385
19,Asău,46.4333,26.4,7.76,63,22,1.82,RO,1635013385
20,Jimma,7.6667,36.8333,15.31,74,97,0.47,ET,1635013385
21,Longyearbyen,78.2186,15.6401,-6.09,79,75,2.06,SJ,1635013386
22,Te Anau,-45.4167,167.7167,9.7,95,100,0.13,NZ,1635013365
23,Bethel,41.3712,-73.414,14.01,59,1,3.6,US,1635013386
24,Torbay,47.6666,-52.7314,16.76,92,75,7.72,CA,1635013386
25,Teya,60.3778,92.6267,1.2,92,100,6.24,RU,1635013387
26,Philadelphia,39.9523,-75.1638,16.8,63,75,1.79,US,1635013258
27,Springdale,36.1867,-94.1288,23.88,69,75,5.36,US,1635013345
28,Saskylakh,71.9167,114.0833,-13.99,95,100,7.31,RU,1635013331
29,Severo-Kuril'sk,50.6789,156.125,4.01,80,73,4.33,RU,1635013387
30,Port Augusta,-32.5,137.7667,5.95,70,2,4.07,AU,1635013388
31,Vaini,-21.2,-175.2,22.09,83,75,5.14,TO,1635013388
32,Niigata,37.9022,139.0236,8.84,65,98,4.47,JP,1635013100
33,Clyde River,70.4692,-68.5914,-4.67,78,97,7.71,CA,1635013388
34,Faanui,-16.4833,-151.75,25.54,73,97,1.26,PF,1635013389
35,Cape Town,-33.9258,18.4232,15.96,64,55,0.89,ZA,1635012793
36,Vila Velha,-20.3297,-40.2925,26.97,69,40,6.69,BR,1635013124
37,Coahuayana Viejo,18.7333,-103.6833,30.71,61,98,1.55,MX,1635013389
38,Mataura,-46.1927,168.8643,9.4,97,100,0.13,NZ,1635013390
39,Hobart,-42.8794,147.3294,9.53,92,90,0.89,AU,1635013318
40,Butaritari,3.0707,172.7902,27.22,73,100,3.07,KI,1635013390
41,San Patricio,28.017,-97.5169,28.62,51,70,5.35,US,1635013358
42,Banjar,-8.19,114.9675,25.51,88,88,2.57,ID,1635013390
43,Punta Arenas,-53.15,-70.9167,6.06,65,40,18.52,CL,1635013391
44,Ketchikan,55.3422,-131.6461,6.26,87,90,4.63,US,1635013391
45,Hamilton,39.1834,-84.5333,15.1,65,40,0.45,US,1635013310
46,Hervey Bay,-25.2986,152.8535,23.91,89,9,7.29,AU,1635013391
47,Raudeberg,61.9875,5.1352,7.15,72,100,3.58,NO,1635013392
48,Lázaro Cárdenas,17.9583,-102.2,28.34,74,98,0.91,MX,1635013392
49,Sheksna,59.21,38.5107,4.98,89,96,2.77,RU,1635013392
50,Grand Gaube,-20.0064,57.6608,24.1,74,3,1.34,MU,1635013393
51,Tasiilaq,65.6145,-37.6368,1.09,91,100,1.59,GL,1635013393
52,Qaanaaq,77.484,-69.3632,-18.59,57,0,3.55,GL,1635013393
53,Hermanus,-34.4187,19.2345,13.78,70,55,3.29,ZA,1635013394
54,College,64.8569,-147.8028,-4.31,89,75,0.0,US,1635013110
55,Socorro,31.6546,-106.3033,26.23,20,1,5.66,US,1635013394
56,Touros,-5.1989,-35.4608,30.5,58,20,5.7,BR,1635013395
57,Nelson Bay,-32.7167,152.15,16.94,98,37,0.45,AU,1635013395
58,Norman Wells,65.282,-126.8329,4.02,70,20,2.57,CA,1635013395
59,New Norfolk,-42.7826,147.0587,8.97,82,100,3.13,AU,1635013344
60,Wuda,39.4994,106.7117,8.51,49,0,1.33,CN,1635013396
61,Opochka,56.7105,28.6617,3.35,96,100,5.14,RU,1635013213
62,Havelock,34.8791,-76.9013,23.86,68,13,2.68,US,1635013396
63,Narsaq,60.9167,-46.05,3.12,75,94,1.26,GL,1635013396
64,Busselton,-33.65,115.3333,9.47,80,36,2.78,AU,1635013294
65,Tuktoyaktuk,69.4541,-133.0374,-2.0,93,75,4.12,CA,1635013397
66,Nadym,65.5333,72.5167,0.73,98,100,4.03,RU,1635013397
67,Nikolskoye,59.7035,30.7861,2.76,86,100,4.26,RU,1635013397
68,Murdochville,48.9583,-65.5006,4.49,94,100,1.51,CA,1635013398
69,Guntakal,15.1667,77.3833,22.66,90,100,3.9,IN,1635013398
70,Khatanga,71.9667,102.5,-12.05,92,100,7.78,RU,1635013399
71,Saint Paul Harbor,57.79,-152.4072,6.73,76,90,5.14,US,1635013399
72,Manta,-0.95,-80.7333,26.88,74,90,3.6,EC,1635013399
73,Constitución,-35.3333,-72.4167,15.42,55,9,8.43,CL,1635013400
74,Hithadhoo,-0.6,73.0833,27.96,74,94,5.42,MV,1635013400
75,Avarua,-21.2078,-159.775,23.03,60,75,3.09,CK,1635013366
76,Ossora,59.2353,163.0719,-5.0,93,100,2.49,RU,1635013400
77,Yar-Sale,66.8333,70.8333,-0.23,91,100,3.87,RU,1635013401
78,Pevek,69.7008,170.3133,-11.66,95,100,2.16,RU,1635013401
79,Altay,47.8667,88.1167,-2.74,67,73,2.76,CN,1635013401
80,Ponta do Sol,32.6667,-17.1,22.1,65,21,1.33,PT,1635013402
81,Atuona,-9.8,-139.0333,25.64,77,16,7.73,PF,1635013402
82,Ahlat,38.7518,42.4814,9.61,27,0,1.47,TR,1635013402
83,Rosarito,32.3333,-117.0333,17.57,72,100,4.14,MX,1635013403
84,Saint-Philippe,-21.3585,55.7679,23.17,81,81,5.28,RE,1635013403
85,Ushuaia,-54.8,-68.3,3.81,87,75,10.8,AR,1635013113
86,Barrow,71.2906,-156.7887,-0.99,80,90,7.2,US,1635013382
87,Bhuj,23.2667,69.6667,25.85,67,37,5.56,IN,1635013404
88,Paamiut,61.994,-49.6678,0.14,50,26,10.64,GL,1635013404
89,Soe,-9.8607,124.284,19.46,86,75,1.53,ID,1635013404
90,Koson,39.0375,65.585,7.18,35,4,3.54,UZ,1635013405
91,Beira,-19.8436,34.8389,25.09,81,1,5.05,MZ,1635013405
92,Guerrero Negro,27.9769,-114.0611,21.54,62,5,7.04,MX,1635013405
93,Polunochnoye,60.8697,60.4153,3.13,82,70,6.06,RU,1635013406
94,Leningradskiy,69.3833,178.4167,-13.23,88,100,3.43,RU,1635013406
95,La Tuque,47.4334,-72.7824,5.14,60,100,2.06,CA,1635013406
96,Sheopur,25.6667,76.7,21.84,60,0,2.48,IN,1635013407
97,Berlevåg,70.8578,29.0864,1.57,67,100,7.59,NO,1635013407
98,Baruun-Urt,46.6806,113.2792,1.72,43,83,3.52,MN,1635013407
99,Mount Isa,-20.7333,139.5,21.87,68,86,1.03,AU,1635013408
100,Ostrovnoy,68.0531,39.5131,-1.53,87,100,7.58,RU,1635013408
101,‘Ewa Beach,21.3156,-158.0072,26.24,66,1,3.09,US,1635013408
102,Vilhena,-12.7406,-60.1458,31.12,55,40,6.17,BR,1635013409
103,Pacific Grove,36.6177,-121.9166,15.53,81,40,0.89,US,1635013409
104,Kashgar,39.4547,75.9797,7.56,23,0,5.0,CN,1635013409
105,Westport,41.1415,-73.3579,14.57,58,75,0.45,US,1635013410
106,Twentynine Palms,34.1356,-116.0542,21.73,46,78,0.45,US,1635013410
107,Ponta Delgada,37.7333,-25.6667,21.4,73,20,4.63,PT,1635013410
108,Zhalantun,48.0,122.7167,3.74,58,0,1.82,CN,1635013411
109,Yenagoa,4.9247,6.2642,22.94,97,100,1.32,NG,1635013411
110,Tiksi,71.6872,128.8694,-18.36,100,97,2.23,RU,1635013412
111,Oranjemund,-28.55,16.4333,14.89,78,6,6.09,NA,1635013412
112,Upernavik,72.7868,-56.1549,-7.1,84,78,2.39,GL,1635013412
113,La Ronge,55.1001,-105.2842,2.14,75,90,6.69,CA,1635013412
114,Trelew,-43.249,-65.3051,18.89,10,4,5.99,AR,1635013384
115,Airai,-8.9266,125.4092,16.38,86,55,0.88,TL,1635013413
116,Tuatapere,-46.1333,167.6833,10.31,97,100,0.57,NZ,1635013400
117,Jieshi,22.8134,115.8257,19.41,76,91,3.91,CN,1635013413
118,Laguna,38.421,-121.4238,16.13,75,75,1.34,US,1635013413
119,Cidreira,-30.1811,-50.2056,20.72,84,92,4.69,BR,1635013414
120,Umluj,25.0213,37.2685,26.39,68,0,5.31,SA,1635013414
121,Kieta,-6.2167,155.6333,25.72,80,14,1.37,PG,1635013414
122,Bengkulu,-3.8004,102.2655,24.51,90,66,1.67,ID,1635013396
123,Benton Harbor,42.1167,-86.4542,11.12,56,90,5.14,US,1635013415
124,Port Hawkesbury,45.6169,-61.3485,17.1,95,90,1.79,CA,1635013415
125,Puerto Escondido,15.85,-97.0667,26.46,69,75,2.06,MX,1635013416
126,Nizhnekamsk,55.6366,51.8245,6.44,65,0,4.0,RU,1635013416
127,Puerto Ayora,-0.7393,-90.3518,25.98,80,94,4.47,EC,1635013353
128,Ząbkowice Śląskie,50.5897,16.8124,4.47,84,33,3.03,PL,1635013416
129,Puyang,29.4603,119.8861,13.85,94,100,0.92,CN,1635013417
130,Nikolayevsk-on-Amur,53.1406,140.73,-1.65,96,37,2.12,RU,1635013417
131,Tha Bo,17.85,102.5814,22.57,87,93,1.27,TH,1635013417
132,Hilo,19.7297,-155.09,22.13,96,90,2.57,US,1635013418
133,Jamestown,42.097,-79.2353,8.5,86,90,0.45,US,1635013418
134,Taman',45.2117,36.7161,15.18,88,100,4.46,RU,1635013418
135,Poum,-20.2333,164.0167,23.09,81,4,6.33,NC,1635013419
136,Cairns,-16.9167,145.7667,22.63,93,21,0.0,AU,1635013419
137,Kaeo,-35.1,173.7833,16.85,98,100,6.45,NZ,1635013419
138,Saint-Pierre,-21.3393,55.4781,23.31,85,0,1.54,RE,1635013419
139,Ventspils,57.3894,21.5606,4.96,87,75,5.14,LV,1635013237
140,São Félix do Xingu,-6.6447,-51.995,30.79,59,100,1.81,BR,1635013420
141,Saurimo,-9.6608,20.3916,19.9,89,59,1.96,AO,1635013420
142,Abū Zabad,12.35,29.25,31.07,34,52,2.13,SD,1635013420
143,Paita,-5.0892,-81.1144,24.31,72,99,5.85,PE,1635013421
144,Palmer,42.1584,-72.3287,13.43,52,20,0.89,US,1635013421
145,Torphins,57.1056,-2.624,11.58,70,100,6.33,GB,1635013422
146,Karratha,-20.7377,116.8463,26.83,41,68,4.01,AU,1635013422
147,Tanabi,-20.6264,-49.6492,35.12,28,0,5.44,BR,1635013422
148,Corrente,-3.7367,-43.3394,29.42,64,100,1.63,BR,1635013422
149,Bathsheba,13.2167,-59.5167,31.34,62,20,9.26,BB,1635013423
150,Dingle,10.9995,122.6711,23.91,94,100,2.42,PH,1635013423
151,Novikovo,51.1537,37.8879,7.88,57,11,4.76,RU,1635013423
152,Ambilobe,-13.2,49.05,24.97,83,31,0.94,MG,1635013424
153,Kuril'sk,45.2333,147.8833,6.93,66,65,6.11,RU,1635013424
154,Yellowknife,62.456,-114.3525,5.71,83,40,8.23,CA,1635013424
155,Zaragoza,41.6561,-0.8773,15.4,46,0,0.89,ES,1635013381
156,Santarém,-2.4431,-54.7083,27.07,89,75,1.54,BR,1635013425
157,Lebu,-37.6167,-73.65,12.69,67,76,4.24,CL,1635013425
158,Port Lincoln,-34.7333,135.8667,11.78,78,4,4.48,AU,1635013425
159,Formosa,-26.1775,-58.1781,22.99,78,75,9.26,AR,1635013266
160,Izvestkovyy,48.9833,131.55,1.2,89,2,1.55,RU,1635013426
161,Puerto Ayacucho,5.6639,-67.6236,32.25,58,48,1.14,VE,1635013426
162,Tautira,-17.7333,-149.15,26.01,87,100,7.85,PF,1635013426
163,Bilma,18.6853,12.9164,30.63,13,9,3.94,NE,1635013180
164,Mossamedes,-15.1961,12.1522,19.8,66,43,6.47,AO,1635013427
165,Yumen,40.2833,97.2,5.97,39,86,2.97,CN,1635013427
166,Iqaluit,63.7506,-68.5145,1.5,69,40,4.02,CA,1635013428
167,Kalmunai,7.4167,81.8167,26.29,81,48,2.33,LK,1635013428
168,George Town,5.4112,100.3354,26.68,88,40,1.54,MY,1635013428
169,Viedma,-40.8135,-62.9967,16.61,27,34,8.87,AR,1635013429
170,Hay River,60.8156,-115.7999,6.99,65,75,6.17,CA,1635013429
171,Port Elizabeth,-33.918,25.5701,16.16,67,0,9.77,ZA,1635013429
172,Saint-Joseph,-21.3667,55.6167,22.67,81,78,2.82,RE,1635013430
173,Talnakh,69.4865,88.3972,-5.42,96,100,3.05,RU,1635013430
174,Bambuí,-20.0064,-45.9769,32.76,24,0,2.59,BR,1635013430
175,Havøysund,70.9963,24.6622,0.49,58,100,7.1,NO,1635013430
176,Pitangui,-19.6828,-44.8903,31.82,29,21,3.45,BR,1635013431
177,São Filipe,14.8961,-24.4956,26.99,66,1,2.8,CV,1635013431
178,Senneterre,48.3835,-77.2328,4.12,62,59,3.48,CA,1635013432
179,Astara,38.5,48.6667,10.39,83,89,0.42,AZ,1635013432
180,Ţahţā,26.7693,31.5021,25.18,40,3,7.29,EG,1635013432
181,Arraial do Cabo,-22.9661,-42.0278,24.92,73,0,11.32,BR,1635013420
182,Yaan,7.3833,8.5667,23.0,88,99,1.79,NG,1635013433
183,Omaruru,-21.4333,15.9333,21.09,13,0,3.42,NA,1635013433
184,Khargāpur,24.823,79.144,22.32,54,0,1.86,IN,1635013434
185,Uglovoye,44.8215,33.6045,15.32,88,99,0.57,UA,1635013434
186,Ahipara,-35.1667,173.1667,16.22,98,99,1.06,NZ,1635013434
187,Ishinomaki,38.4167,141.3,8.82,72,6,2.9,JP,1635013434
188,Henties Bay,-22.116,14.2845,16.59,82,0,6.67,NA,1635013135
189,Katsuura,35.1333,140.3,12.22,60,1,4.52,JP,1635013435
190,Kragerø,58.8693,9.4149,7.54,68,72,3.24,NO,1635013435
191,Korla,41.7597,86.1469,12.53,36,100,1.99,CN,1635013435
192,Cayenne,4.9333,-52.3333,27.83,84,90,2.24,GF,1635013436
193,Manicoré,-5.8092,-61.3003,36.01,36,66,2.26,BR,1635013436
194,Lüderitz,-26.6481,15.1594,15.6,71,11,9.42,NA,1635013436
195,Emba,48.8264,58.1442,9.4,56,6,4.36,KZ,1635013437
196,Ozernovskiy,51.5,156.5167,4.25,82,100,6.76,RU,1635013437
197,Alofi,-19.0595,-169.9187,22.94,68,32,3.6,NU,1635013437
198,Cizre,37.3272,42.1903,19.56,24,0,4.12,TR,1635013438
199,Beringovskiy,63.05,179.3167,-11.85,80,34,4.7,RU,1635013438
200,Pahrump,36.2083,-115.9839,20.2,42,100,2.24,US,1635013438
201,La Palma,33.8464,-118.0467,17.82,91,75,1.34,US,1635013439
202,Hobyo,5.3505,48.5268,26.63,78,7,5.21,SO,1635013439
203,Thompson,55.7435,-97.8558,1.09,75,90,1.03,CA,1635013390
204,Butterworth,5.3991,100.3638,26.49,88,40,1.54,MY,1635013439
205,Lakshettipet,18.8667,79.2167,21.69,71,75,1.55,IN,1635013440
